input,output,instruction
สถาบันการเงินใดที่ให้กู้เงินแก่บุคคลทั่วไปโดยรับจำนำสิ่งของเครื่องใช้ต่างๆ ,โรงรับจำนำ ,ถามตอบ
เงินที่รัฐบาลเรียกเก็บจากบุคคลหรือนิติบุคคลเพื่อเป็นค่าใช้จ่ายในการพัฒนาประเทศเรียกว่าอะไร ,ภาษี ,ถามตอบ
สถาบันการเงินได้ที่รับฝากไว้ให้ผู้ยืมเงินแก่บุคคลที่เป็นสมาชิกเท่านั้น ,สหกรณ์ออมทรัพย์ ,ถามตอบ
ความสำคัญสูงสุดของภาษีคือข้อใด ,การพัฒนาประเทศ ,ถามตอบ
ถ้าเราหลีกเลี่ยงไม่เสียภาษีหรือเสียภาษีไม่ถูกต้องจะเกิดผลอย่างไร  ,ได้รับโทษทางอาญา ,ถามตอบ
การเข้าเป็นสมาชิกของสหกรณ์ควรมีคุณสมบัติอย่างไร ,มีความสมัครใจ ,ถามตอบ
สหกรณ์แห่งแรกของประเทศไทยตั้งอยู่ที่จังหวัดใด ,พิษณุโลก ,ถามตอบ
ขั้นตอนแรกของการจัดตั้งสหกรณ์ในชุมชนคือข้อใด ,รับสมัครสมาชิกและรวบรวมหุ้น  ,ถามตอบ
การเกษตรทฤษฎีใหม่ของพระราชทานสมเด็จพระเจ้าอยู่หัวทรงเน้นแก้ไขปัญหาหลักของเกษตรกรในเรื่องใด ,ที่ทำกิน ,ถามตอบ
เพราะเหตุใดผลผลิตจึงมีราคาต่ำ ,ออกจำหน่ายในเวลาใกล้เคียงกัน ,ถามตอบ
ข้อใดช่วยแก้ไขปัญหาการขาดแคลนแรงงานทุนและผู้ประกอบการใด ,พึ่งพาปัจจัยการผลิตจากท้องถิ่น ,ถามตอบ
โครงการ หนึ่ง ตำบล หนึ่ง ผลิตภัณฑ์มีข้อดีอย่างไร ,ช่วยให้ผู้ผลิตมีรายได้เพิ่มขึ้น ,ถามตอบ
ภาคใดของประเทศไทยที่มีลักษณะภูมิประเทศส่วนใหญ่เป็นที่ราบสูง ,ภาคอีสาน ,ถามตอบ
ลักษณะภูมิประเทศแบบใดที่คนมักตั้งบ้านเรือนอาศัยอยู่หนาแน่น ,ลักษประเทศที่เป็นที่ราบ และชายฝั่งทะเล ,ถามตอบ
การศึกษามิติสัมพันธ์เชิงทำเลที่ตั้งไม่ได้รวมถึงข้อใด ,จำนวนประชากร ,ถามตอบ
ภูมิอากาศไม่มีอิทธิพลต่อสิ่งใดของคน ,สติปัญญาและความสามารถ ,ถามตอบ
สีน้ำเงินในแผนที่หมายถึงสิ่งใด ,ทะเล ,ถามตอบ
โลกโคจรรอบดวงอาทิตย์ทำให้เกิดปรากฏการณ์ได้ ,ฤดูกาล ,ถามตอบ
ป่าไม้ที่หนาทึบมักจะมีฝนตกชุกเพราะเหตุใด ,มีความชื้นสูง ,ถามตอบ
การทำลายป่าชายเลนจะมีผลกระทบต่อทรัพยากรได้มากที่สุด ,สัตว์น้ำ ,ถามตอบ
แร่ชนิดได้นำมาใช้ประโยชน์ในการให้พลังงาน ,ถ่านหิน ,ถามตอบ
ถ้าป่าไม้ในประเทศไทยถูกตัดทำลายไปจนหมดนักเรียนคิดว่าจะเกิดอะไรขึ้นในอนาคต ,พื้นดินจะแห้งแล้งแล้วจะค่อยๆกลายเป็นทะเลทราย ,ถามตอบ
การอนุรักษ์ทรัพยากรธรรมชาติชนิดใดที่ถือเป็นการอนุรักษ์ต้นน้ำลำธารให้สมบูรณ์ ,ป่าไม้ ,ถามตอบ
ดินในภาคใดเหมาะแก่การเพาะปลูกมากที่สุด ,ภาคกลาง ,ถามตอบ
ประเพณีได้เป็นของภาคอีสาน ,ประเพณีบุญบั้งไฟ ,ถามตอบ
ขนบธรรมเนียมประเพณีข้อใดคือลักษณะภูมิประเทศของภาคเหนือ ,มีภูเขาสูงสลับกับที่ราบระหว่างหุบเขา ,ถามตอบ
คนในภาคใดมีการอพยพย้ายถิ่นมากที่สุด ,ภาคตะวันออกเฉียงเหนือ ,ถามตอบ
ถ้าจำนวนประชากรเพิ่มขึ้นจำนวนมากจะมีผลกระทบต่อเรื่องใดมากที่สุด ,ทรัพยากร ,ถามตอบ
การมาเล่นได้เป็นของภาคใต้ ,รองเง็ง,ถามตอบ
คุณภาพชีวิตของประชากรขึ้นอยู่กับข้อใดมากที่สุด ,อาชีพและรายได้ ,ถามตอบ
วิธีที่ดีที่สุดในการป้องกันการย้ายถิ่นของประชากรคือข้อใด ,ฝึกอบรมให้มีใจรักท้องถิ่น ,ถามตอบ
คนในชนบทที่เข้ามาอาศัยในเมืองใหญ่ๆมักหางานทำลักษณะใด ,รับจ้าง ,ถามตอบ
จารีตจะเป็นกฎเกณฑ์ที่เกี่ยวข้องกับเรื่องใด ,ศาสนา ,ถามตอบ
ในวันเกิดของตนนักเรียนควรปฏิบัติอย่างไรจึงจะเหมาะสมในฐานะเป็นสาชนิกชน ,บำเพ็ญสาธารณประโยชน์ ,ถามตอบ
การวาดภาพพุทธประวัติเป็นศิลปกรรมที่เป็นเอกลักษณ์ไทย แขนงได้ ,จิตรกรรม ,ถามตอบ
ห้างสรรพสินค้าเป็นกิจกรรมทางเศรษฐกิจของหน่วยเศรษฐกิจได้ ,หน่วยธุรกิจ ,ถามตอบ
ความหมายของการปกครองแบบประชาธิปไตยคือข้อใด ,ประชาชนมีส่วนร่วมในการปกครอง ,ถามตอบ
ตลาดขายสัตว์เลี้ยงจัดเป็นตลาดประเภทใด ,ตลาดตามชนิดของสินค้า ,ถามตอบ
สถาบันการเงินนำเงินทุนจากไหนมาให้หน่วยเศรษฐกิจกู้ยืม ,เงินฝากของประชาชน ,ถามตอบ
กฎหมายสูงสุดที่ใช้เป็นหลักในการปกครองประเทศคือข้อใด ,รัฐธรรมนูญ ,ถามตอบ
การคัดเลือกประกอบอาชีพควรคำนึงถึงสิ่งใดเป็นสำคัญ ,ความถนัดและความสามารถ ,ถามตอบ
การกระทำผิดกฎหมายจะได้รับผลอย่างไร ,ถูกลงโทษตามกฎหมายบ้านเมือง ,ถามตอบ
การเกิดจันทรุปราคาตำแหน่งของดวงดาวสัมพันธ์กับข้อใด ,ดวงอาทิตย์โลกดวงจันทร์ ,ถามตอบ
ผู้ที่มีอาชีพค้าขายควรมีลักษณะตามข้อใดมากที่สุด ,มีมนุษย์สัมพันธ์ดี ,ถามตอบ
ปรากฏการณ์นั้นเพื่อขึ้นน้ำลงเกิดขึ้นเพราะสาเหตุใด ,แรงดึงดูดระหว่างโลกกับดวงจันทร์ ,ถามตอบ
ปรากฎการณ์สุริยุปราคาเกิดขึ้นเพราะสาเหตุใด ,ดวงจันทร์บางแสง อาทิตย์ ,ถามตอบ
การกระทำใดจัดอยู่ในหลักเบญจศิล,การพูดเรื่องจริง ,ถามตอบ
จุดประสงค์หลักของการกรวดน้ำหลังจากทำบุญคือข้อใด ,อุทิศส่วนกุศล ,ถามตอบ
นักเรียนคิดว่าจังหวัดใดมีประชากรอาศัยอยู่มากที่สุด ,กรุงเทพฯ ,ถามตอบ
คนประเภทใดที่น่าจะเป็นคนที่เสียสละเพื่อส่วนรวมได้ ,คนไม่เห็นแก่ตัว ,ถามตอบ
สังคมแรกของมนุษย์คือข้อใด ,ครอบครัว ,ถามตอบ
วิธีการในข้อใดจะทำให้สังคมมีความเจริญและน่าอยู่ ,ทุกคนรู้จักหน้าที่และร่วมมือกัน ,ถามตอบ
ถ้าต้องการซื้อนมกล่องควรตรวจสอบอย่างไร ,ดูวันหมดอายุ ,ถามตอบ
เนื้อสัตว์ชนิดใดที่ผู้ที่นับถือศาสนาพราหมณ์ฮินดูไม่รับประทาน ,วัว ,ถามตอบ
หลักธรรมของศาสนาสิกข์มีจุดมุ่งหมายให้ผู้ปฏิบัติได้รับผลอย่างไร ,ได้พบความสุขที่แท้จริง ,ถามตอบ
เพราะเหตุใดจึงกล่าวว่าการบวชเป็นการสืบทอดพระพุทธศาสนา ,พระสงฆ์เป็นผู้ถ่ายทอดคำสอนของพระพุทธเจ้า ,ถามตอบ
เราควรปฏิบัติต่อผู้สืบทอดศาสนาอย่างไร ,แสดงความเคารพ ,ถามตอบ
ภาคใต้มักประสบปัญหาอุทกภัยอยู่เสมอนักเรียนคิดว่าจะช่วยแก้ปัญหานี้ได้อย่างไร ,เชิญชวนให้คนอนุรักษ์ป่าไม้ ,ถามตอบ
การละหมาดเป็นการกระทำเพื่อจุดมุ่งหมายได้ ,นมัสการพระอัลเลาะห์ ,ถามตอบ
นักเรียนจะมีวิธีแนะนำชาวนาในการอนุรักษ์บินได้อย่างไร ,แนะนำให้ปลูกพืชหมุนเวียน ,ถามตอบ
การปฏิบัติตนตามศีลห้าอย่างเคร่งครัดมีประโยชน์อย่างไร ,ทำให้เป็นคนดีน่าเชื่อถือ ,ถามตอบ
การปฏิบัติในข้อใดเป็นหลักปฏิบัติของพระพุทธศาสนาและ ศาสนาอิสลามที่ระบุไว้อย่างชัดเจน ,งดดื่มสุรา ,ถามตอบ
อาชีพบริการด้านใดที่ถือว่าผิดกฎหมายและทำลายวัฒนธรรมประเพณี ,บริการทางเพศ ,ถามตอบ
ข้าราชการที่ดีไม่ควรมีสิ่งใด ,ความถือตัว ,ถามตอบ
ผู้นำของประเทศต้องยึดหลักคุณธรรมในข้อใดมากที่สุด ,ความซื่อสัตย์ ,ถามตอบ
งานวันเด็กมีจุดมุ่งหมายเพื่ออะไร ,ให้เห็นความสำคัญของเด็ก ,ถามตอบ
เวลาเล่นกับเพื่อนข้อใดสำคัญที่สุด ,มีน้ำใจนักกีฬา ,ถามตอบ
การค้าขายสินค้าประเภทใดที่เป็นการทำลายทรัพยากรธรรมชาติ  ,อวัยวะหรือชิ้นส่วนต่างๆของสัตว์ป่า ,ถามตอบ
ทำไมพุทธศาสนาจึงสอนให้คนประกอบอาชีพธุรกิจ ,เพราะเป็นอาชีพที่ไม่เบียดเบียนผู้อื่น ,ถามตอบ
จุดประสงค์สำคัญในการถือบวชในศาสนาอิสลามคือข้อใด ,มีความอดทน ,ถามตอบ
หลักธรรมของศาสนาคริสต์เน้นข้อใดเป็นสำคัญ ,ความรัก ,ถามตอบ
การสูญเสียชีวิตของคนไทยในปัจจุบันเกิดจากสาเหตุใดมากที่สุด ,อุบัติเหตุ ,ถามตอบ
การเพิ่มประชากรมีสาเหตุสำคัญมาจากข้อใด ,การขาดความรู้เรื่องการวางแผนครอบครัว ,ถามตอบ
การอพยพของประชากรเข้าสู่เมืองใหญ่ก่อให้เกิดปัญหาได้น้อยที่สุด ,ปัญหาการกระจายรายได้ ,ถามตอบ
 คนไทยส่วนใหญ่ในชนบทมีอาชีพอะไร ,ทำนา ,ถามตอบ
พลังงานได้ที่เราใช้โดยไม่มีวันหมด ,พลังงานแสงอาทิตย์ ,ถามตอบ
เครื่องใช้ไฟฟ้าชนิดใดที่ใช้พลังงานไฟฟ้ามากที่สุด ,แอร์ ,ถามตอบ
การปรากฏการ์กลางวัน กลางคืนเกิดขึ้นเนื่องจากสาเหตุใด ,โลกหมุนรอบตัวเอง ,ถามตอบ
พื้นที่ที่เหมาะสมแก่การเลี้ยงสัตว์ของประเทศไทยอยู่บริเวณใด ,ภาคตะวันออกเฉียงเหนือ ,ถามตอบ
พิธีกรรมของศาสนาคริสต์ที่กระทำเพื่อยืนยันถึงการยอมรับนับถือศาสนาคริสต์คือวิธีกรรมใด ,พิธีศีลกำลัง ,ถามตอบ
การปฏิบัติตามหลักธรรมทางศาสนาเกิดผลดีต่อสิ่งใดมากที่สุด ,จิตใจ ,ถามตอบ
การทำความดีต้องมีลักษณะอย่างไร ,คำว่าเจตนาที่ดี ,ถามตอบ
การกระจายซะกาตในศาสนาอิสลามเป็นพิธีกรรมเกี่ยวกับเรื่องได้ ,การบริจาคทานแก่คนที่เหมาะสมตาม ศาสนบัญญัติ  ,ถามตอบ
ผลของการทำความดีตามคำสอนของศาสนาข้อใดสำคัญที่สุด ,มีความสุขทางใจ ,ถามตอบ
ก่อนที่พระพุทธศาสนาถือกำเนิดขึ้นมาชาวอินเดียในสมัยก่อนนับถือศาสนาใด ,พราหมณ์ ,ถามตอบ
การปฏิบัติในข้อใดเป็นพิธีกรรมในวันสำคัญทางพระพุทธศาสนา ,เวียนเทียน ,ถามตอบ
คุณธรรมสำคัญสำหรับการอยู่ร่วมกันในหมู่คณะคือข้อใด ,ความสามัคคี ,ถามตอบ
พิธีสราทธ์ในศาสนาฮินดูเป็นพิธีกรรมเกี่ยวกับเรื่องได้ ,การทำบุญอุทิศให้กับบรรพบุรุษ ,ถามตอบ
การปฏิญาณตนในศาสนาอิสลามเป็นการประกาศศรัทธาต่อผู้ใด ,พระอัลเลาะห์ ,ถามตอบ
การบวงสรวงต่างๆเป็นพิธีการสำคัญของศาสนาใด ,พราหมณ์ ,ถามตอบ
พิธีกรรมใดทางพระพุทธศาสนาที่มีจุดมุ่งหมายในการขัดเกลาจิตใจของเยาวชนชาวพุทธ ,พิธีบรรพชา ,ถามตอบ
การทำร้ายร่างกายผู้อื่นจนได้รับบาดเจ็บเป็นการทำผิดบรรทัดฐานข้อใด ,กฎหมาย,ถามตอบ
กฎหมายแตกต่างกับจารีตและวิถีชาวบ้านอย่างไร ,มีการกำหนดโทษสำหรับผู้กระทำผิดไว้ชัดเจน ,ถามตอบ
กฎหมายที่มีบทบัญญัติขัดกับรัฐธรรมนูญจะใช้บังคับไม่ได้เพราะอะไร ,รัฐธรรมนูญเป็นกฎหมายสูงสุดของประเทศ ,ถามตอบ
ถ้าลูกมีอายุถึงเกณฑ์เข้าเรียนแล้วพ่อแม่ไม่ให้เข้าเรียนจะมีผลอย่างไร ,พ่อแม่มีความผิดตามกฎหมาย ,ถามตอบ
การผลิตกระแสไฟฟ้าในประเทศไทยเป็นกิจกรรมทางเศรษฐกิจของหน่วยเศรษฐกิจใด ,หน่วยรัฐบาล ,ถามตอบ
ถ้าเราเลี้ยงปลาเพื่อจำหน่ายที่ดินหมายถึงข้อใด ,บ่อเลี้ยงปลา ,ถามตอบ
ธนาคารใดที่มีวัตถุประสงค์เฉพาะในการให้สินเชื่อเพื่อการปลูกสร้างที่อยู่อาศัย ,ธนาคารอาคารสงเคราะห์ ,ถามตอบ
สถานธนานุบาลจัดเป็นสถาบันการเงินประเภทใด ,โรงรับจำนำ ,ถามตอบ
สิ่งใดที่ผู้ขอสินเชื่อไม่สามารถนำมาใช้เป็นหลักฐานในการค้ำประกันเงินกู้ ,สร้อยคอ ,ถามตอบ
ภาษีใดที่ผู้บริโภคต้องเสียเมื่อซื้อสินค้า ,ภาษีมูลค่าเพิ่ม ,ถามตอบ
ธนาคารแห่งประเทศไทยเป็นธนาคารประเภทใด ,ธนาคารกลาง ,ถามตอบ
หน่วยงานที่มีหน้าที่จัดเก็บภาษีโดยตรงคือหน่วยงานใด ,กรมสรรพากร ,ถามตอบ
ผลตอบแทนที่สมาชิกได้รับจากการมีหุ้นในสหกรณ์คือข้อใด,เงินปันผล ,ถามตอบ
การจัดสรรที่ดินในการทำเกษตรทฤษฎีใหม่ส่วนใดที่จำเป็นต้องมี ,แหล่งน้ำ ,ถามตอบ
ปัจจัยที่มีผลต่อการผลิตและการบริการคืออะไร ,ความต้องการของผู้บริโภค ,ถามตอบ
เครื่องมือทางภูมิศาสตร์ในข้อใดที่มีลักษณะรูปคล้ายกับโลกมากที่สุด ,ลูกโลกจำลอง ,ถามตอบ
การที่ดวงจันทร์โคจรรอบโลกทำให้เกิดปรากฏการณ์ได้ ,ข้างขึ้นข้างแรม,ถามตอบ
ฤดูกาลเกิดขึ้นได้เพราะเหตุใด ,โลกเคลื่อนที่รอบดวงจันทร์ ,ถามตอบ
โลกหมุนรอบตัวเองในลักษณะใด ,หมุน ทวนเข็มนาฬิกา ,ถามตอบ
ภาคตะวันออกเฉียงเหนือมีสภาพอากาศแห้งแล้งฝนไม่ตกตามฤดูกาลทำให้เกิดมีประเพณีใด,ประเพณีแห่นางแมว ,ถามตอบ
ภาคใดประเภทไทยที่มีรูปคล้าย กับด้ามขวาน ,ภาคใต้ ,ถามตอบ
สีเขียวในแผนที่เป็นสัญลักษณ์ใช้แทนสิ่งใด ,ป่าไม้ ,ถามตอบ
การช่วยกันอนุรักษ์ทรัพยากรธรรมชาติในข้อใดเป็นการช่วยอนุรักษ์ต้นน้ำลำธาร ,ป่าไม้ ,ถามตอบ
ประเทศไทยมีลักษณะภูมิประเทศแบ่งเป็นกี่ภาค ,6 ภาค ,ถามตอบ
ภาคกลางเป็นแหล่งเพาะปลูกที่สำคัญจึงทำให้เกิดประเพณีใด,การทำขวัญข้าว ,ถามตอบ
ภาคตะวันออกเฉียงเหนือมีลักษณะทางกายภาพเป็นอย่างไร ,ที่ราบสูง ,ถามตอบ
การกระทำใดถือเป็นการปฏิบัติตามอุดมการณ์ของพระพุทธศาสนา ,มีความอดทนบากบั่นทำงานอย่างไม่ย่อท้อ ,ถามตอบ
วิทยาศาสตร์สอดคล้องกับพระพุทธศาสนาในเรื่องใด ,การแสวงหาความจริงด้วยการพิสูจน์เชิงประจักษ์ ,ถามตอบ
ธรรมที่เป็นเหตุให้ระลึกถึงกันมีความเคารพกันช่วยเหลือกันและสามัคคีพร้อมเพียงกันคือธรรมใด ,อปริหานิยธรรม,ถามตอบ
หากต้องการศึกษาประมวลพระธรรมเทศนาประวัติ และเรื่องราวต่างๆควรสืบค้นจากพระคัมภีร์ใดเป็นหลักฐานชั้นที่1 ,สุดตันตปิฎก,ถามตอบ
อกุสลกรรมและกุศลกรรมเป็นกรรมประเภทใด ,กรรมตามมูลเหตุ ,ถามตอบ
หากจัดประเภทของวัฒนธรรมตามเนื้อหาข้อใดจัดอยู่ในประเภทของสหธรรม ,มารยาท ,ถามตอบ
ประเทศไทยได้สถาปนาความสัมพันธ์ทางการทูตกับประเทศได้ตั้งแต่ก่อนสงครามโลกครั้งที่2,สหรัฐอเมริกา ,ถามตอบ
ตลาดผูกขาดก่อให้เกิดผลดีแก่สังคมได้อย่างไรเพราะเหตุใด ,ทำรายได้ให้รัฐบาลมากเพราะมีกำไรสูงจึงต้องจ่ายภาษีเงินได้ในอัตราสูง ,ถามตอบ
ชุมชนที่ต้องการพึ่งตนเองและช่วยเหลือกันด้านการเงินทุนในการใช้จ่ายเมื่อมีความจำควรจัด ตั้งสหกรณ์ประเภทใดในชุมชน ,สหกรณ์ออมทรัพย์ ,ถามตอบ
ในการรวมตัวเป็นประชาเศรษฐกิจอาเซียนได้มีการตกลงกันล่วงหน้าว่าจะให้ประเทศใดมีจุดเด่นในสาขาการผลิตภัณฑ์ยางและสิ่งทอ ,ประเทศมาเลเซีย ,ถามตอบ
ผลกระทบที่เกิดจากสงครามระหว่างอิรักกับอิหร่านทำให้ประเทศไทยต้องพึ่งพาความช่วยเหลือจากองค์การใด ,กองทุนการเงินระหว่างประเทศ ,ถามตอบ
วัฒนธรรมฮัวบิเนียนที่พบในดินแดงเอเชียตะวันออกเฉียงใต้อยู่ในยุคใด ,ยุคหินกลาง ,ถามตอบ
เส้นทางสายไหมมีความสำคัญต่อมนุษยชาติในเรื่องใด ,เป็นการแลกเปลี่ยนอารยธรรมระหว่างโลกตะวันออกกับตะวันตก ,ถามตอบ
แนวคิดใดที่ส่งเสริมให้เกิดการปฏิวัติทางวิทยาศาสตร์ ,ความคิดในแบบมนุษย์นิยม ,ถามตอบ
ชาวจีนที่เดินทางเข้ามาค้าขายในสมัยอยุธยาและต้นรัตนโกสินต้องอยู่ภายใต้การดูแลของหน่วยงานได้ ,กรมท่าซ้าย,ถามตอบ
คติการสร้างรูปเคารพแทนองค์พระมหากษัตริย์ในสังคมไทยสมัยอยุธยาถึงต้นรัตนโกสินนิยมสร้างแบบใด ,พระพุทธรูปทรงเครื่อง ,ถามตอบ
นโยบายการอนุรักษ์และส่งเสริมวัฒนธรรมเพื่อการพัฒนาประเทศเกิดขึ้นในรัฐบาลใด,จอมพล แปลก พิบูลสงคราม ,ถามตอบ
อุปกรณ์ใดใช้ศึกษาข้อมูลทางภูมิศาสตร์ได้อย่างถูกต้อง ,ระบบสารสนเทศภูมิศาสตร์แสดงข้อมูลหลายๆประเภทพร้อมกัน ,ถามตอบ
นายศาสนาคริสต์พิธีใดเป็นการชำระล้างบาปกำเนิด ,ศิลจุ่ม ,ถามตอบ
เพราะเหตุใดพระพุทธศาสนาจึงได้ชื่อว่าเป็นหลักการและวิธีการที่เป็นสากล ,เพราะสอนกฎแห่งความเป็นจริงตามธรรมชาติ ,ถามตอบ
ท่านอนาคาริก ธรรมปาละ ได้ชื่อว่าเป็นชาวพุทธตัวอย่างด้วยเรื่องใด ,เป็นผู้ฟื้นฟูพระพุทธศาสนาในอินเดีย ,ถามตอบ
พระพุทธศาสนามีคำสอนเรื่องความรักความเมตตาอยู่เน้นหลักธรรมใด ,พรหมวิหาร 4 ,ถามตอบ
ความในข้อแรกของ ปฏิญาณสากลว่าด้วยสิทธิมนุษยชนสนับสนุนให้มนุษย์ปฏิบัติต่อกันตามหลักการใด ,หลักภราดรภาพ,ถามตอบ
ผู้สนับสนุนการกระทำผิดด้วยความผิดทางอาญาต้องได้รับโทษอย่างไร ,ต้องได้รับโทษ 2ใน 3 ของโทษสำหรับตัวการ ,ถามตอบ
ตามการแบ่งประเภทยาเสพติดขององค์การอนามัยโลกยาบ้าเป็นยาเสพติดประเภทใด ,ประเภทแอมเฟตามิน ,ถามตอบ
ผู้ใดมีความสำคัญมากที่สุดในกระบวนการผลิตสินค้าและบริการ ,ผู้ประกอบการเพราะเป็นผู้รวบรวมปัจจัยการผลิตและรับภาระเสียงภายในการผลิต ,ถามตอบ
การเพิ่มขึ้นในข้อใดจะทำให้ ปริมาณเงินในประเทศขยายตัว ,การใช้จ่ายอุปโภคบริโภคและการลงทุน ,ถามตอบ
โครงการประกันราคาข้าวเหมือนกับโครงการ รับจำนำข้าวในเรื่องใด ,ทำให้ความเสี่ยงด้านรายได้ของชาวนาลดลง ,ถามตอบ
เหตุการณ์ใดถือว่าเป็นการสิ้นสุดของประวัติศาสตร์ยุโรปสมัยใหม่ ,การยุติของสงครามโลกครั้งที่2,ถามตอบ
ทาสในสมัยสุโขทัยเป็นทาสประเภทใด ,ทาสเชลย ,ถามตอบ
งานศิลปกรรมได้ไม่อยู่ในกลุ่มศิลปะแบบทวาราวดี ,ปราสาท ,ถามตอบ
การแบ่งชนชั้นตามระบบวรรณะในสมัยพุทธกาลถือว่าเป็นการจำแนกด้านใด ,อาชีพ ,ถามตอบ
พระพุทธศาสนาให้อิสรภาพแก่ชาวอินเดียสมัยพุทธกาลในด้านใดมากที่สุด ,ระบบวรรณะ ,ถามตอบ
คำว่าสัมมาสัมพุทธแปลว่าอะไร ,ผู้ตรัสรู้โดยชอบด้วยพระองค์เอง ,ถามตอบ
หลักธรรมอริยสัจ 4 มีลักษณะอย่างไร ,เป็นความจริงที่เป็นเหตุเป็นผลกัน ,ถามตอบ
ใครคือผู้นิพนธ์หนังสือไตรภูมิพระร่วง ,พระเจ้าลิไท ,ถามตอบ
วันใดคือวันพระธรรม ,มาฆบูชา ,ถามตอบ
สถาบันสังคมในข้อใดมีบทบาทสำคัญในการกำเนิดสถานภาพของคนในสังคม ,สถาบันครอบครัวและสถาบันเศรษฐกิจ ,ถามตอบ
กิจกรรมใดเป็นการอนุรักษ์วัฒนธรรมไทยในด้านสหธรรม ,การไหว้ทักทายกัน ,ถามตอบ
เพื่อสนับสนุนการปกครองตามระบอบประชาธิปไตยรัฐควรส่งเสริมให้หน่วยงานใดเป็นหน่วยงานหลักในการจัดทำบริการสาธารณะ ,องค์การปกครองส่วนท้องถิ่น ,ถามตอบ
บุคคลในตำแหน่งใดไม่อยู่ในคณะกรรมการสรรหาผู้ตรวจการแผ่นดิน ,ประธานวุฒิสภา ,ถามตอบ
ในระยะที่เกิดภาวะเงินเฟ้อในอัตราสูงใครได้รับประโยชน์มากที่สุดเพราะเหตุใด ,ผู้ผลิตเพราะสามารถขายสินค้าได้ในราคาที่สูงขึ้น ,ถามตอบ
การเปิดเสรีทางด้านการค้าและการเงินระหว่างประเทศทำให้ประเทศไทยต้องประสบปัญหาสำคัญ ข้อใด ,การผันผวนของภาวะเศรษฐกิจ ,ถามตอบ
มนุษย์รู้จักกัน ตั้งหลักแหล่งบริเวณที่ราบลุ่มแม่น้ำเป็นครั้งแรกในยุคใด ,ยุคหินใหม่ ,ถามตอบ
ชนเผ่าใดได้รับชัยชนะจากการเข้าโจมตีอาณาจักรโรมันตะวันตก ,เยอรมัน ,ถามตอบ
พัฒนาการของโลกตะวันตกยุคใหม่เริ่มต้นจากเรื่องใด ,การออกสำรวจดินแดนโพ้นทะเล ,ถามตอบ
พระบฎ หมายถึงผ้าในข้อใด ,ผ้าเขียนภาพพระพุทธเจ้า ,ถามตอบ
พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัวเสด็จพระพาสดินแดนใดในทวีปเอเซียมากที่สุด ,ชวา ,ถามตอบ
กล้องสามมิติเป็นอุปกรณ์ที่ใช้คู่กับสิ่งใด ,ภาพถ่ายทางอากาศ ,ถามตอบ
ปัญหาดินเปรี้ยวแก้ไขได้อย่างไร ,เติมปูนขาวพร้อมใส่ปุ๋ยคอกหรือปุ๋ยชีวภาพ ,ถามตอบ
การนำเข้ายางรถยนต์ใช้แล้วเป็นการละเมิดข้อใดฉบับใด ,อนุสัญญาบาเซิล ,ถามตอบ
กรีนพีซกับสมาคมสร้างสรรค์ไทยจะสามารถร่วมมือกันได้ในเรื่องได้ ,รณรงค์เกี่ยวกับปัญหาด้านมลพิษทางอากาศ ,ถามตอบ
หลักธรรมในข้อใดสามารถนำมาใช้ในการดำรงชีวิตแบบพอเพียงได้ดีที่สุด ,หลักโภควิภาค 4 ,ถามตอบ
มนุษย์เป็นสัตว์ประเสริฐเพราะการศึกษาหมายความว่าอย่างไร ,การศึกษาทำให้มนุษย์รู้จักคิดวิเคราะห์พัฒนาความรู้ความเข้าใจต่อสิ่งต่างๆ ,ถามตอบ
ข้อใดเป็นข้อความที่ถูกต้องสำหรับระบบกฎหมายไทย ,ระบบกฎหมายไทยเป็นระบบซิวิลลอร์ตั้งแต่สมัยรัชกาลที่ 5 เพราะประกาศใช้ประมวลกฎหมายอาญา ,ถามตอบ
ถ้ารัฐบาลกู้เงินจากประชาชนมาลงทุนจะเกิดผลอย่างไร ,สภาพคล่องในประเทศเพิ่มขึ้น ,ถามตอบ
กองทุนการเงินระหว่างประเทศให้ประเทศสมาชิกกู้ยืมไปเพื่อแก้ปัญหาได้ ,เงินสำรองต่างประเทศต่ำมาก ,ถามตอบ
สิ่งใดไม่ใช่การคิดค้นของชาวตะวันออก  ,ภาษาเขียน ,ถามตอบ
จักรวรรดิโรมันมีส่วนสำคัญในการช่วยเผยแพร่ศาสนาคริสต์ไปสู่โลกตะวันตกได้อย่างไร ,จักรพรรดิ คอนสแตนตินของชาวโรมันรับนับถือศาสนาคริสต์นับเป็นการช่วยปกป้องศาสนาคริสต์ ,ถามตอบ
ประเทศใดที่ประมุขแห่งรัฐไม่ใช่กษัตริย์  ,อิหร่าน อินโดนีเซีย ,ถามตอบ
หลักการหรือกลไกใดต่อไปนี้ที่มีอยู่เฉพาะในระบบรัฐสภา แต่ไม่มีในระบบประชาธิปไตย ,การยึดถือรัฐสภาเป็นองค์กรสูงสุดทางการเมือง ,ถามตอบ
สงคราม อานามสยามยุทธ กับญวนเกิดขึ้นในรัชกาลใด ,ราชกาลที่ 3 ,ถามตอบ
หลักธรรมใดที่สามารถไปประยุกต์ใช้กับหลักเศรษฐกิจพอเพียงได้เหมาะสมที่สุด ,มัชฌิมาปฏิปทา,ถามตอบ
